CATEGORY	TITLE
b	250 684 0 1135 6 1599 1136
b	42 0 38 0 40 640 1484 1 719 193 63 5
b	38 6510 0 7 6511 114 963 2168 237 1394
b	3271 18 334 38 2616 0 388 926 8
b	0 1074 6512 658 2391 2 42 57 343 5185 775
b	9 42 1 776 344 1074 4322 5 38 258 57 343 775
b	777 164 1245 5186 4323 19 63 143 640 3271
b	9 777 164 1245 5186 1024 19 63 143 3271
b	640 3271 18 37 879 13 1856 54
b	1199 1600 2169 720 5187 1601 279 1 416 1395
b	1199 60 0 115 154 21 1 8 8 5 8
b	9 1199 1600 2169 720 5187 1601 279 1 416 1395
b	9 589 10 43 1602 1 1603 2 1991
b	589 1720 442 43 6 1137
b	10 135 259 808 177 16 94 880 2392
b	10 28 548 61 274 177 16 0 94 366
b	10 417 549 177 16 94 62 27 34
b	10 28 104 7 2393 32 492 136 6 27
b	2394 2170 590 5 10 843 1 2395 1604 407
b	9 2394 2170 590 5 10 843 1 2395 1604 407
b	2394 2170 396 10 133 2396 240 280 843 8
b	0 2170 590 5 10 843 2396
b	1326 659 116 1327 324 33 5188 463 325 8
b	6513 1485 165 16 269 180 21 1246 389 844 6 4324 2 1486
b	114 619 10 3272 2925 2397 6514 21 2926
b	3746 1721 29 660 46 408 180 19 661 2926
b	9 140 685 1 186 0 2617 13 4325
b	845 4326 591 4327 14 1025 1200 137 8
b	10 591 4327 0 14 47 1025 1200 137 8
b	9 84 1992 6 442 27 34 11 7 0 221 300
b	9 2171 1328 5189 590 5 843 2396
b	102 40 4 0 5189 2171 590 5 843 5 3 187 73 2 351
b	5189 590 187 843 7 0 1993 6515 8
b	9 443 620 1722 1 129 144 881 214 1857 3273
b	508 2 3 72 509 0
b	72 141 1858 6516 30 5 214 2 187 660
b	6517 60 18 72 0 510 5 250 508 0
b	9 263 301 2172 80 0 352 5 10 1994 214 2 72
b	263 301 6518 352 4 1994 214 246 2 72 464
b	5190 0 13 5191 1 26 114 2927
b	298 4328 2 3 52 2927 1723 5192 1075 0
b	5190 1 1724 5191 5193 335 2927 5194 8
b	13 0 306 0 31 85 1329 26 114 2927
b	9 5190 11 5191 721 1 182 964 335 2927 336
b	964 1605 2927 409 15 4329
b	964 1605 2927 409 15 4329
b	52 2398 28 2928 11 84 104 16 442 27 846
b	52 2398 28 2928 11 84 180 21 442 27 846
b	10 28 1487 13 1026 1247 6 27 34
b	0 14 122 63 6 550 27 620 65 0
b	0 550 180 2928 84 4330 4331 847
b	27 32 1248 662 16 442 0 34 0 80 8 124
b	1138 141 27 28 251 6 0 4332 8
b	2929 847 7 748 136 3274 531 0 27 238
b	27 1606 429 82 0 663 5 3275 8
b	281 288 5195 532 5 2618 63 7 27 846 1027
b	1725 1601 0 188 0 1 93 4333 965 8
b	9 6519 2619 5 10 3276 0 95 93 0 1725
t	0 0 1330 1 592 1249 1 12 6520 4 5196 11 4334 1137
t	5197 117 3277 1024 19 1995 5198 142 397
t	5197 444 36 0 5199 117 5200 551 11 367 0 21
t	9 2394 2170 590 10 843 6521 510 39 12 0
t	1028 3 298 966 19 12 2173 13 163 6522 0 0
t	9 112 2399 664 778 39 1396 13 1 260 326 1607
t	9 112 3278 326 1726 29 144 343 5 17 60
t	112 326 260 1201 2400 1488 1139 6523
t	686 3279 1996 809 327 621 1397 445 1 228 222 11
t	125 2930 966 1997 1 967 6524 1998 2620 5 270
t	214 20 2621 2 2931 1999 1 12 3280
t	4335 214 143 378 20 337 2621 12 3280
t	214 143 2 0 54 2621 23 927 98
t	9 6525 1250 3747 3748 6526 282 34 3281
t	0 6525 3748 6526 282 0 34 3281
e	1608 2622 86 3749 16 178 0 66 1331 7
e	882 1251 17 120 4 166 221 271 13 30 407 11
e	511 120 4 166 271 111 1332 17 51 779 36 241
e	149 194 593 24 1333 552 1720 2401 6 398 4 533
e	149 194 149 194 257 0
e	149 194 2174 121 4 533 2623 6527 24 4336
e	48 49 3282 1029 6528 88 1859 4337 1140 11 446 12
e	48 49 48 49 1029 338 16 6529 88 4337 1140
e	48 49 1030 338 16 6529 88 48 49 4337 1140
e	883 1860 1727 4338 4339 4340 4341 51 18 90 884 1076
e	367 1860 1727 2000 79 221 4 3 883 64 553 12 0 2624
e	928 687 62 126 4 883 848 4342 4
e	883 58 1860 1727 4338 1720 4343 5201 5 0 3 5202
e	0 1860 1727 810 3 482 1489 102 968 1728 263 6530
e	3 883 221 302 8 3 482 1489 102 1860 1727 1861
e	6531 0 883 1031 0 1860 1727 51 5 2001
e	1032 132 82 493 811 102 3750 20
e	353 410 554 90 15 0 5 62 1077 1334 1141 132
e	353 410 353 410 261 1 62 1077 1334 430
e	353 410 494 339 1 182 1729 62 1077 1334 132
e	1330 6532 2 1032 15 99 1862 6533
e	353 410 353 410 2932 35 62 1077 1334 1141 161
e	1862 2175 2402 1032 11 1730 688 969 3 5203
e	2625 161 1032 0 0 116 0
e	353 410 0 14 2176 7 344 1032 275 2933 14 1862
e	689 1 1398 3751 6534 5 12 1202 221 4 301 4 2403
e	690 780 2626 5 5204 1490 6 131
e	641 690 780 328 40 594 4344 2 1862 0 1399
e	3 722 77 233 379 6 690 780 2177 2002 573 307
e	690 780 111 641 64 1609 24 6535 24 1252 7 56 849
e	690 780 11 1142 5205 1253 6 1203 1143 13 3 2627
e	66 41 5204 1490 690 5206 29 329 0 1078 0
e	690 780 11 399 555 3283 3752 1 1144 1863 3284
e	690 780 690 780 2628 5 5204 1145
e	641 1254 0 2 690 5206 215 1863 4345
e	690 780 690 780 2629 13 399 555 16 2177 308
e	690 780 380 102 1146 0 6 1863
e	686 390 1 183 6 125 13 5207 212 2630 11 3753 1864
e	686 390 686 390 1 1865 5207 212 465 11 1866 14 1862
e	686 390 1 595 0 212 465 2630 8
e	127 1 2178 19 1033 0 17 132 2402
e	2402 15 12 1203 6536 2179 5 1033 2934 574 11 161 3754 1255
